City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,heyuan,23.7333,114.6833,19.86,96,12,0.93,CN,1682631799
83,whitehorse,60.7161,-135.0538,7.28,48,40,5.66,CA,1682631799
84,mahina,-17.5065,-149.489,29.87,70,75,3.09,PF,1682631800
85,tiksi,71.6872,128.8694,-9.94,89,13,1.12,RU,1682631512
86,biltine,14.5333,20.9167,31.69,15,57,3.59,TD,1682631800
87,usogorsk,63.4106,48.6872,-6.79,96,8,1.89,RU,1682631800
88,sitka,57.0531,-135.33,5.94,81,100,4.63,US,1682631800
89,fort morgan,40.2503,-103.8,21.68,34,20,12.86,US,1682631688
90,mar del plata,-38.0023,-57.5575,16.72,83,0,3.09,AR,1682631742
91,georgetown,5.4112,100.3354,26.96,94,20,0.0,MY,1682631712
92,peterhead,57.5058,-1.7981,7.22,95,100,10.91,GB,1682631801
93,katsuren-haebaru,26.3369,127.8719,21.01,82,40,1.54,JP,1682631801
94,zouerate,22.7187,-12.4521,33.25,15,58,1.63,MR,1682631801
95,kuhmo,64.1333,29.5167,2.62,94,99,5.09,FI,1682631801
96,mount pearl,47.5166,-52.7813,3.86,84,75,5.66,CA,1682631802
97,kutum,14.2,24.6667,22.26,54,73,5.43,SD,1682631802
98,chaihe,44.7667,129.7,8.84,76,100,1.57,CN,1682631802
99,thompson,55.7435,-97.8558,5.09,48,20,4.12,CA,1682631802
100,puerto ayora,-0.7393,-90.3518,29.98,86,61,3.13,EC,1682631803
101,quelimane,-17.8786,36.8883,22.97,88,40,1.03,MZ,1682631803
102,laguna,38.421,-121.4238,33.13,29,0,2.06,US,1682631803
103,kirensk,57.7853,108.1119,-0.89,93,79,1.63,RU,1682631803
104,vernon,50.2581,-119.2691,20.72,18,100,1.54,CA,1682631803
105,talnakh,69.4865,88.3972,-12.66,97,93,1.47,RU,1682631803
106,polyarnyy,69.1989,33.4478,-2.93,84,21,5.82,RU,1682631803
107,atafu village,-8.5421,-172.5159,28.86,72,43,7.03,TK,1682631521
108,shimoda,34.6667,138.95,17.84,70,53,4.39,JP,1682631804
109,clewiston,26.7542,-80.9337,25.92,72,88,5.89,US,1682631804
110,fortuna,40.5982,-124.1573,22.18,68,10,0.89,US,1682631804
111,chonchi,-42.6128,-73.8092,11.18,98,100,2.62,CL,1682631804
112,hotan,37.0997,79.9269,12.57,46,61,2.91,CN,1682631805
113,lata,40.1629,-8.3327,18.84,67,93,0.89,PT,1682631805
114,susuman,62.7833,148.1667,-4.43,83,96,1.36,RU,1682631529
115,lompoc,34.6391,-120.4579,29.08,78,40,3.09,US,1682631805
116,pariaman,-0.619,100.12,24.03,91,100,1.65,ID,1682631805
117,aykhal,66.0,111.5,-9.9,97,97,1.81,RU,1682631805
118,arrifes,37.7667,-25.7,16.14,94,20,5.14,PT,1682631805
119,tumut,-35.3,148.2167,15.15,67,68,1.17,AU,1682631805
120,zaozersk,69.4005,32.4476,-6.13,93,23,2.61,RU,1682631805
121,turtas,58.9417,69.1325,10.61,80,50,3.37,RU,1682631806
122,kavieng,-2.5744,150.7967,28.19,78,82,2.68,PG,1682631806
123,zavitinsk,50.1167,129.45,3.87,49,28,3.23,RU,1682631806
124,i-n-salah,27.1935,2.4607,31.48,8,4,8.69,DZ,1682631715
125,afaahiti,-17.75,-149.2833,28.93,78,85,5.13,PF,1682631806
126,longyearbyen,78.2186,15.6401,-2.09,80,100,5.66,SJ,1682631806
127,keene,42.9337,-72.2781,16.04,43,40,2.57,US,1682631807
128,ust-nera,64.5667,143.2,-4.47,86,26,0.48,RU,1682631807
129,malango,-2.9627,119.9001,19.8,98,99,0.99,ID,1682631807
130,west island,-12.1568,96.8225,26.99,89,75,5.66,CC,1682631807
131,jalajala,14.353,121.3225,27.83,85,24,2.96,PH,1682631807
132,levokumka,44.2317,43.15,12.14,93,75,2.0,RU,1682631807
133,belmonte,-15.8631,-38.8828,24.9,77,0,3.31,BR,1682631807
134,fort bragg,35.139,-79.006,19.39,85,100,4.12,US,1682631807
135,dunedin,-45.8742,170.5036,12.67,72,0,1.34,NZ,1682631808
136,aasiaat,68.7098,-52.8699,-3.35,90,19,1.64,GL,1682631808
137,belyy yar,53.6039,91.3903,9.94,71,0,4.0,RU,1682631808
138,jamestown,42.097,-79.2353,17.51,29,0,1.54,US,1682631808
139,saint cloud,45.5608,-94.1625,13.21,85,100,3.6,US,1682631530
140,bozeman,45.6796,-111.0386,6.55,59,100,7.72,US,1682631720
141,vadso,70.0744,29.7487,1.49,86,0,6.69,NO,1682631808
142,souillac,-20.5167,57.5167,24.21,83,20,1.54,MU,1682631808
143,marsh harbour,26.5412,-77.0636,25.05,71,16,4.61,BS,1682631808
144,paramirim,-13.4425,-42.2389,26.46,40,17,2.33,BR,1682631808
145,koumra,8.9126,17.5539,29.25,42,99,1.84,TD,1682631809
146,syktyvkar,61.6764,50.8099,-1.15,74,0,5.0,RU,1682631809
147,sandnessjoen,66.0217,12.6316,3.14,87,89,0.89,NO,1682631809
148,nelson bay,-32.7167,152.15,17.78,93,10,2.68,AU,1682631809
149,grand baie,-20.0182,57.5802,24.69,77,88,2.24,MU,1682631809
150,uturoa,-16.7333,-151.4333,28.04,75,66,3.39,PF,1682631809
151,colatina,-19.5394,-40.6306,27.16,63,68,0.37,BR,1682631809
152,brigantine,39.4101,-74.3646,15.58,74,100,5.14,US,1682631623
153,newman,37.3138,-121.0208,32.35,32,9,0.89,US,1682631809
154,qaqortoq,60.7167,-46.0333,2.42,77,10,2.18,GL,1682631526
155,bilibino,68.0546,166.4372,-7.97,70,11,0.64,RU,1682631810
